Timestamp (UTC),Transaction Description,Currency,Amount,To Currency,To Amount,Native Currency,Native Amount,Native Amount (in USD),Transaction Kind,Transaction Hash
2023-03-19 06:33:33,Pline Ph Belmont Foru,AUD,-40.97,,,AUD,-40.97,-27.64397181725,,
2023-03-19 06:25:00,Aldi Stores   Cloverda,AUD,-13.54,,,AUD,-13.54,-9.1359379645,,
2023-03-14 01:51:52,United Perth Airport,AUD,-41.71,,,AUD,-41.71,-28.14327714175,,
2023-03-12 12:51:55,Spotify P21 Af8 F81 F,AUD,-11.99,,,AUD,-11.99,-8.09009573075,,
2023-03-12 10:32:43,Www.Spurgroup.Co* Me&U,AUD,-75.82,,,AUD,-75.82,-51.1585536535,,
2023-03-12 09:54:49,AUD Deposit,AUD,250.0,,,AUD,250.0,168.68423125,,
2023-03-12 06:07:44,Woolworths/Belmont Forum,AUD,-93.15,,,AUD,-93.15,-62.85174456375,,
2023-03-12 05:40:52,Family Fresh Market,AUD,-12.11,,,AUD,-12.11,-8.17106416175,,
2023-03-12 05:12:39,Aldi Stores   Cloverda,AUD,-48.72,,,AUD,-48.72,-32.873182986,,
2023-03-07 08:48:19,United Perth Airport,AUD,-37.92,,,AUD,-37.92,-25.586024196,,
2023-03-06 06:49:20,Aldi Stores   Cloverda,AUD,-31.34,,,AUD,-31.34,-21.1462552295,,
2023-03-06 06:30:15,Family Fresh Market,AUD,-36.02,,,AUD,-36.02,-24.3040240385,,
2023-03-06 06:28:14,AUD Deposit,AUD,250.0,,,AUD,250.0,168.68423125,,
2023-03-05 14:34:25,Refund: Swan River Cafe Pty,AUD,24.0,,,AUD,24.0,16.1936862,,
2023-03-05 02:45:59,Swan River Cafe Pty,AUD,-20.0,,,AUD,-20.0,-13.4947385,,
2023-03-05 01:52:40,Swan River Cafe Pty,AUD,-56.0,,,AUD,-56.0,-37.7852678,,
2023-03-04 05:53:30,The Lucky Shag Water,AUD,-40.5,,,AUD,-40.5,-27.3268454625,,
2023-03-01 08:40:25,Aldi Stores   Cloverda,AUD,-28.71,,,AUD,-28.71,-19.37169711675,,
2023-03-01 01:39:19,Netflix.Com,AUD,-22.99,,,AUD,-22.99,-15.51220190575,,
2023-02-28 09:00:59,Ampol High Wyco 50068 F,AUD,-40.75,,,AUD,-40.75,-27.49552969375,,
2023-02-28 08:49:12,AUD Deposit,AUD,200.0,,,AUD,200.0,134.947385,,
2023-02-26 10:03:28,Telco,AUD,-30.0,,,AUD,-30.0,-20.24210775,,
2023-02-26 05:06:33,Aldi Stores   Cloverda,AUD,-22.71,,,AUD,-22.71,-15.32327556675,,
2023-02-26 04:52:58,Family Fresh Market,AUD,-34.58,,,AUD,-34.58,-23.3324028665,,
2023-02-23 10:24:59,Tgi Fridays Carousel,AUD,-84.55,,,AUD,-84.55,-57.04900700875,,
2023-02-21 08:43:29,Ampol High Wyco 50068 F,AUD,-39.46,,,AUD,-39.46,-26.6251190605,,
2023-02-21 08:33:24,AUD Deposit,AUD,200.0,,,AUD,200.0,134.947385,,
2023-02-19 08:14:49,Woolworths/Belmont Forum,AUD,-51.75,,,AUD,-51.75,-34.91763586875,,
2023-02-19 07:48:45,Family Fresh Market,AUD,-26.91,,,AUD,-26.91,-18.15717065175,,
2023-02-19 07:28:16,Aldi Stores   Cloverda,AUD,-55.48,,,AUD,-55.48,-37.434404599,,
2023-02-18 12:42:34,City Heart Indian Re,AUD,-69.0,,,AUD,-69.0,-46.556847825,,
2023-02-18 11:16:03,AUD Deposit,AUD,200.0,,,AUD,200.0,134.947385,,
